순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수(천주),외국인 보유주식수,외국인 지분율(%),총카운트
22,066570,LG전자,"92,600","-3,500","-3.6","1,461,934","136,787,037,000","97,600","97,600","92,000","15,153,787,576,400","0.79","163,647,814",,,
23,091990,셀트리온헬스케어,"99,800","-700","-0.7","852,091","85,254,387,900","102,500","102,600","98,600","14,023,519,155,200","0.73","140,516,224",,,
24,006400,삼성SDI,"200,500","-5,500","-2.7","466,438","94,170,991,000","206,500","206,500","200,500","13,787,288,265,000","0.72","68,764,530",,,
25,251270,넷마블,"157,000","-500","-0.3","402,782","62,857,990,500","161,500","161,500","152,500","13,370,662,278,000","0.70","85,163,454",,,
26,033780,KT&G,"96,000","-700","-0.7","620,925","59,673,795,000","96,100","97,200","95,600","13,180,079,712,000","0.69","137,292,497",,,
27,003550,LG,"73,400","-500","-0.7","547,134","40,216,206,237","73,900","74,000","73,200","12,665,693,415,400","0.66","172,557,131",,,
28,011170,롯데케미칼,"368,500","5,500","1.5","251,808","93,135,212,000","371,500","376,000","363,000","12,630,491,901,500","0.66","34,275,419",,,
29,000270,기아차,"31,150","-550","-1.7","1,468,344","45,905,113,600","31,750","31,900","31,150","12,627,068,259,050","0.66","405,363,347",,,
30,086790,하나금융지주,"41,600","-250","-0.6","1,689,017","70,571,210,440","42,350","42,450","41,600","12,490,069,779,200","0.65","300,242,062",,,
31,010950,S-Oil,"107,500","1,500","1.4","346,488","37,266,279,500","107,000","108,500","106,000","12,102,650,140,000","0.63","112,582,792",,,
32,000810,삼성화재,"250,500","-1,000","-0.4","159,577","40,042,336,500","251,500","254,000","250,500","11,867,396,668,500","0.62","47,374,837",,,
